,cluster,caption
10,12,"a house with a wooden roof and a garden. a flower garden with many different flowers. a black and white photo of a fence with a tree in front. a black and white photo of a cat sitting on top of a trash can. a black and white photo of a brick wall. a group of men in blue and white uniforms are standing on a court. two basketball players in blue uniforms playing on a court. a group of people in white shirts and blue hats. the basketball team celebrates after winning a game. a group of people cheering in a basketball game. a man and woman standing on a basketball court. a man and woman shaking hands on a basketball court. a group of people cheering at a basketball game. a man with a beard and a blue jersey is standing on a court. a man with a beard and a blue jersey is standing on a court. a group of men in blue uniforms celebrating on the court. the basketball team is sitting on the court and the crowd is watching. a man is holding a basketball in front of a crowd. a basketball player is giving a high five to his teammates. a group of basketball players are celebrating. a group of basketball players are clapping and cheering. a group of basketball players are standing together. a group of men in blue shirts are clapping. a man is clapping with his hands in the air. a group of people are hugging each other in a basketball game. a group of people are hugging each other on a basketball court. a group of basketball players are celebrating in the stands. three basketball players are talking to each other. a basketball player is standing on the court with his hands in the air. a man in a blue shirt is clapping with his hands. a group of men in blue uniforms are celebrating. a group of basketball players are celebrating together. a group of men in blue uniforms are celebrating. ""Frankfurts person reacts during the group b match between Frankfurt and  at the"". two basketball players are standing together on a court. two basketball players are standing together on the court. a group of people cheering on a basketball court. ""womens basketball team celebrating on the court"". two basketball players standing on the court. a man with a beard and a blue jersey is smiling. a basketball player is talking to another player. a basketball player is celebrating after scoring a basket. a basketball player in mid air with the ball in his hand. a basketball player in mid air with the ball in his hand. a basketball player in blue jumps for the ball. two men in blue and white uniforms playing basketball. two basketball players are playing in a game. a basketball player is in mid air while another player is in the air. a basketball player in mid air with the ball in his hand. a basketball player in blue uniform holding a ball. a basketball player in blue and white uniform holding a ball. basketball players in blue uniforms are talking to each other. three men in blue and white uniforms playing basketball. a basketball player in blue uniform standing on the court. two basketball players in blue uniforms playing on a court. a basketball game with players in blue and white. a basketball game with several players in blue and white. a basketball player is trying to block the ball. a basketball game with players on the court. a basketball player in blue and white uniform dribbling the ball. a basketball player in blue and white uniform dribbling a ball. a woman in a blue uniform is playing basketball. two men playing basketball in a large arena. two basketball players in blue uniforms playing on the court. two basketball players in blue uniforms playing on a court. a man in a blue uniform holding a basketball. a basketball game with two teams playing on the court. a basketball player in blue and white uniform dribbling the ball. a basketball game with players on the court. a basketball game with several players in the middle of the court. a basketball game with players in blue and white uniforms. a basketball game with players in blue and white uniforms. a group of men playing basketball in a large arena. a basketball game with players on the court. a basketball player in blue and white uniform dribbling the ball. a basketball player in blue and white uniform is dribbling the ball. two basketball players are playing on the court. two basketball players are playing on the court. a basketball game in progress with players in blue and white uniforms. a basketball game in progress with players in blue and white. a basketball game with players in blue and white uniforms. a basketball player is dribbling the ball while another player is trying to block him. a basketball player in blue and white is shooting the ball. person, person, person, person, person, person, person, person, person, person. two basketball players are celebrating after a game. a basketball player is trying to get the ball away from the basket. a basketball game with players on the court. a basketball player is trying to get the ball away from the other players. a basketball game with several players in the middle of the court. a basketball game with players in blue and white. two basketball players are playing in a game. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue and white uniform is playing. a basketball player in blue and white uniform dribbling the ball. a basketball player in blue and white is dribbling the ball. a man in a blue shirt is standing on a court. a man in a blue shirt is celebrating with his teammates. a man in a white shirt and blue jacket is standing on the sidelines. a basketball player is trying to block the ball. a basketball game with two teams playing on the court. a basketball player in blue and white uniform is dribbling the ball. two basketball players in blue uniforms playing on a court. a basketball player in blue and white uniform is holding a ball. a basketball player in blue and white uniform dribbling the ball. a basketball player dribbling the ball while being guarded by other players. a group of men in blue uniforms talking to each other. two basketball players in blue uniforms talking to each other. two basketball players are playing on a court. a man in blue uniform holding a basketball. a man in blue uniform holding a basketball. two basketball players are playing on a court. basketball players in blue and white uniforms playing basketball. basketball players in blue and white uniforms playing on a court. two basketball players are playing on the court. two basketball players are playing on a court. two men in blue and white uniforms playing basketball. a basketball player in blue and white running with the ball. two basketball players in blue and white uniforms are playing. a basketball player is going up for a shot. a basketball player is in the air trying to block the ball. a basketball player in blue and white is running down the court. two basketball players are playing on a court. a basketball player is dribbling the ball while another player is trying to block him. basketball players in blue and white uniforms playing basketball. two basketball players are playing on the court. a group of people cheering at a basketball game. ""the mens basketball team is clapping and cheering"". a group of basketball players are celebrating. a basketball player is celebrating with his hands up. two basketball players are standing together on the court. a group of people cheering on a basketball court. a basketball player in blue and white is shooting the ball. a basketball player in blue is celebrating a basket. two basketball players in blue uniforms playing on a court. a basketball player is in mid air trying to block the ball. a basketball game in progress with players on the court. two basketball players are playing on the court. a basketball game with several players in the air. a basketball player in blue and white uniform holding a ball. a basketball player is going up for the ball. two basketball players in blue uniforms on a court. a basketball game with several players in the air. a group of basketball players huddle together on the court. two basketball players are celebrating after a game. a basketball player is being held down by another player. a basketball game in progress with players in blue and white. a basketball game in progress with players in blue and white. two basketball players are playing on the court. a basketball player in blue uniform is holding a ball. two basketball players talking to each other in a blue uniform. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue uniform is holding a ball. two basketball players in blue and white uniforms are playing. two basketball players are playing on a court. a basketball player in blue and white is dribbling the ball. two basketball players are playing on the court. a basketball player is about to shoot the ball. a basketball player in blue and white uniform is dribbling the ball. a basketball game in progress with players in blue and white. a basketball game with players on the court. a basketball game with players in blue and white uniforms. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue and white uniform is about to throw the ball. a basketball game with players on the court. a group of men in blue and white uniforms are celebrating. three men in blue and white uniforms playing basketball. two basketball players are playing on the court. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue and white uniform holding a ball. a referee is talking to a basketball player on the court. a basketball player is holding a ball and pointing to the referee. a group of men in blue uniforms celebrating on the court. a man in a blue uniform is celebrating. a man is holding a basketball in front of a crowd. a basketball player is shouting in the middle of a crowd. two basketball players are playing on the court. a basketball game in progress with players in blue and white. a basketball game in progress with players in blue and white uniforms. a basketball player in blue and white uniform is dribbling the ball. three basketball players are playing in a game. a basketball player in blue and white uniform holding a basketball. two basketball players in blue and white uniforms are playing. two basketball players are playing on a court. a basketball game with players in blue and white uniforms. a basketball player is trying to pass the ball. a basketball player in blue and white uniform holding a basketball. a basketball player in blue and white running with the ball. a basketball game in a large arena with blue and white uniforms. a basketball player in blue and white is trying to block the ball. a basketball game in progress with players in blue and white. basketball players in blue and white uniforms playing basketball. two basketball players in blue and white uniforms playing on a court. two basketball players are playing on a court. a basketball game with two teams playing on the court. a basketball player in blue and white is holding a ball. two basketball players are playing on a court. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue is dribbling the ball. a basketball player in blue and white uniform dribbling the ball. a basketball player in a blue jersey standing on a court. a basketball game with players in the middle of the court. a basketball game with players in blue and white uniforms. a basketball game with two teams playing on the court. a basketball player in blue and white uniform running with the ball. a basketball game with players in blue and white uniforms. two basketball players in blue and white uniforms playing on a court. a basketball game with players in blue and white uniforms. two basketball players are playing on a court. two basketball players in blue uniforms playing on a court. two men in blue and white uniforms playing basketball. a basketball player in blue and white uniform is dribbling the ball. a basketball game with two players on the court. a basketball player is taking a shot at the ball. two basketball players are playing on a court. a basketball player is raising his arms in the air. a basketball player in blue and white is dribbling the ball. a mascot on stage with a group of people. a basketball player is giving a high five to his teammates. a group of men in blue and white uniforms are standing on a court. a basketball player is shaking hands with other players. a basketball player is congratulated by his teammates. a group of basketball players shaking hands with each other. a basketball player is dunking the ball. a basketball player smiles while standing on the court. a group of people standing around a basketball court with fire. a basketball player is shaking hands with his teammates. a basketball game with players in blue and white uniforms. a basketball player in blue and white uniform is dribbling the ball. a basketball player in blue uniform standing on the court. two men in blue shirts are talking to each other. a man in a suit holding a clipboard while standing on a court. a man in blue shirt and white shorts is dunking the ball. a basketball player in blue uniform standing on the court. a man in a blue shirt is standing on a basketball court. a group of basketball players walking on the court. a basketball player smiles while standing on the court. a man and woman standing on a basketball court. a young man in a blue uniform is standing on a basketball court. a basketball player is shaking hands with his teammates. a basketball player in blue shirt standing on the court. two men shake hands with a man in a white shirt. a man in a blue jersey is smiling while playing basketball. two men in blue uniforms talking to each other on a basketball court. a basketball player in blue and white uniform holding a ball. two women in blue jackets talking to each other on a basketball court. two men are talking to each other on a basketball court. two women standing on a basketball court with their cell phones. three men in white shirts standing on a court. two men in blue uniforms are pointing at something. a man in blue is holding a basketball ball. a man in a white shirt holding a basketball ball. a basketball game with players in blue and white uniforms. a group of men in blue uniforms are shaking hands. a man in a blue jersey is standing on a court. a basketball player is shaking hands with his teammates. two basketball players talking to each other on the court. two women standing on a basketball court with a ball. a basketball player in blue uniform holding a ball. a man in a blue shirt holding a basketball. a basketball player in a blue shirt and black shorts. a basketball player in blue jersey standing on court"
11,13,a river with trees reflected in the water. a thistle plant with green leaves and a spiky head. a pond in the middle of a forest with trees and lily pads. a lake surrounded by trees and water lillies. a pond with water lilies and trees in the background. a pond with lots of water lilies in it. ducks swimming in a pond with green leaves. photograph - swamp reflections by jimmy kirk. a close up of some tall grass in a field. a tall grass plant with a blue sky in the background. a close up of a purple flower. a purple flower is growing in the woods. a purple flower blooming in the woods. a field with tall grass and trees. autumn leaves in the forest by james mccormick for stocksy united. a bench with mushrooms growing on it. a white dog sitting on the ground near a pond. autumn trees in the water. a close up of mushrooms growing on a tree stump. blurry image of a field with trees and grass. a group of mushrooms on a log in the forest. a blurry image of a forest with trees and grass. a tree branch is floating in the water. two baby ducks are walking in the water. a duck family swimming in a pond. a duck and her three ducklings swimming in the water. a tree with white flowers and some trees. a black and white photo of a pile of wood
12,14,a white dog standing on a log in the woods. three turtles are sitting on a log in the water. a small white flower is on a branch. a mandarin duck swimming in the water. a close up of some white flowers on a tree. a young tree branch with leaves on it. a small purple flower is growing in the grass. a turtle is sitting on a log in the water. a river in the middle of a forest with trees. a branch with green leaves and buds. a willow tree in the middle of a pond. a bird standing on the shore of a pond. a green leaf on a branch with blurry background. a bird sitting on a branch in the woods. yellow flowers on a plant in the forest. a small orange flower is growing out of the ground. yellow flowers in the forest. a yellow train traveling over a bridge in a city. a train on the tracks in front of a small house. a small green plant bud with a blurry background. white flowers with green leaves in the background. a spider web is seen on a wooden fence. a tree branch with green leaves and yellow flowers. a purple flower with a blurry background. a muddy river in the woods with trees and leaves. a stone bridge over a stream in the woods. a muddy pond in the woods with trees and leaves. a close up of some purple flowers in the woods. a group of mushrooms growing on the ground. mushrooms growing on a tree stump in the woods. a group of mushrooms growing on the ground. a train traveling over a bridge in a forest. mushrooms growing on a mossy log in the woods. a stump in the woods with a tree trunk. a man riding a bike through the woods. a red bus driving down a road next to trees. a blue tram on the tracks in the woods. a blurry image of a white flower on a tree. a close up of a small white flower. a blue train traveling through a forest. two toads are sitting on top of each other. three turtles are sitting on a log in the water. a white flower with yellow center is growing on a branch. a bird is sitting on the water in the middle of a forest. willow tree in the water. a branch with green leaves and a blurry background. a close up of a white flower on a tree. a single leaf is growing on a branch. a bird is standing in the water near some trees. a close up of a white flower on a tree. a blue flower is growing on a log in the woods
13,15,"a white and yellow airplane on the tarmac. a tray with food on it and a drink on it. Frankfurt train station, Frankfurtland. a man looking out the window of an airplane. a plane with a wing on it. a large passenger jet sitting on top of an airport runway. the inside of an airport with a glass ceiling. turkish airlines a330-300 at berlin airport. a train is pulling into a station with people walking by. a man and a child walking through an airport. people walking down an escalator in a building. a large group of metal planters in an indoor area. people walking in an airport. a man is walking on the platform of a subway station. a yellow bus is parked on the side of the road. people walking on a bridge over a road with buildings in the background. a woman with a suitcase at an airport. a person standing on an escalator with their shoes on. people waiting for a train at a train station. people are on a bus. the interior of a large building with many windows. a woman with a suitcase is walking through an airport. two images of two men working on an airplane. a black and white photo of a building with windows. an ethiopian airways airplane on the runway at an airport. a plane flying over a city with tall buildings. an airplane is parked on the tarmac at an airport. a large screen showing the flight information at an airport. a plane flying over a city. a plane flying over a city"
14,16,"pope benedict xvi in Frankfurt. a newspaper article with a picture of a man sitting in a chair. the german newspaper minnichmerkurr is pictured on the floor of a room. the front page of the daily mail on friday, april 3, 2020. panorama germany - the fahne. the wall street journal, the paper of record for the financial world, has a front page story. the german newspaper the daily news. an airplane is parked at an airport. a large jetliner parked on the tarmac at an airport. thai airlines boeing 787-9. a plane is parked at an airport terminal"
15,17,"frosty grass in the morning. frosty grass in the morning. a close up of some blue berries on a plant. a close up of a plant with small flowers. a close up of a small flower with a blurry background. purple flowers in the grass with some tall grass. yellow flowers in the grass. yellow flowers in the grass. a city skyline is seen in the distance at night. a dark night sky with trees and a city in the background. a tree branch with icicles hanging from it. ice on a tree branch in the snow. a frozen branch with icicles hanging from it. icicles hanging from a tree branch at night. frosty branches in the city at night. a tree branch with ice on it at night. a frozen flower with a small droplet of water on it. ice covered berries on a tree branch. a red flower is in the foreground of a blurry photo. frost on a tree branch. a bush with red berries covered in ice. ice on a pine tree branch. black and white photograph of a tree with ice on it. icicles hanging from a pine branch. ice on a tree branch in the snow. a leaf is hanging from a branch in the snow. a frozen branch with a leaf hanging from it. moonlight on the tree. a snowy field with a sunset in the background. a snowy landscape with a red sky and trees. ice covered branches with red berries on them. ice crystals on a branch in the snow. rose hips, rose hips, rose hips, rose hips, rose hips, rose hips, rose. a close up of a plant with green leaves. red berries on a branch in the woods. two dogs playing in the grass. two dogs playing in the grass near a fence. sunset in Frankfurt, Frankfurt, germany. a small plant with green leaves and brown stems. a rusty metal post in the grass. yellow flowers in the rain. a close up of a leaf with water droplets on it. a close up of a leaf with red and yellow colors. a blurry image of leaves on a tree. raindrops on leaves. a close up of some wheat in a field. blue flowers in the grass. a spider web with dew on it. a close up of yellow flowers with dew drops. a close up of yellow flowers with water droplets. a purple flower with small purple flowers in the grass. a close up of a purple flower with green stems. a bee on a thistle plant with purple flowers. a dead flower with water droplets on it. a bee is on a purple flower with a green background. a close up of a flower with purple and white petals. a close up of a green nut on a tree. a close up of a flower with small green leaves. a red and black bug on a plant. a spider web in the grass with dew on it. yellow flowers in the grass with water droplets on them. a close up of some yellow flowers with water droplets. yellow flowers with water droplets on them. the sky is filled with clouds and trees at sunset. a sunflower in a field of green leaves. a sunflower in a field of tall grass. sunflowers in the field at sunset. sunflower with smiley face in field. a bee sits on the center of a sunflower. a sunflower is shown in a field of green plants. a single yellow sunflower in a field. a sunflower is in a field with many other sunflowers. a spider with yellow and black stripes on its back. a yellow and black spider sits on its web. a close up of some white flowers on a tree. purple flowers in a field with tall grass. yellow flowers in a field of tall grass. a field of purple flowers in a blurry photo. a bee on a plant with some grass in the background. a pink flower is growing on a bush. a couch sitting in a doorway with graffiti on it. a small green plant with yellow flowers. blue flowers with water droplets on them. blue flowers with water droplets on them. a close up of blue flowers in the grass. a yellow rose is shown in a blurry photo. a dead rose in the garden. a close up of a grass plant with purple flowers. a close up of some purple flowers. a close up of purple flowers in a field. a yellow and red flower with yellow centers. a single purple flower is in the middle of a field. a close up of a red flower with yellow flowers. pink flowers on a tree branch with green leaves. a purple flower with a blurry background. a close up of some white flowers. a grasshopper on a plant in the garden. a bee on a purple flower with a blurry background. a close up of a green plant with blurry background. a yellow flower is growing in the middle of a green field. a small white flower with yellow center in the middle. orange daylily in the grass. a yellow flower with green leaves in the background. a bee on a purple flower in the garden. two blue flowers are growing in the ground"
16,18,"statue of a man in a suit standing on a street. a piece of paper laying on the ground. a bus driving down a wet street in the rain. a bus is driving down a street at night. two men looking at posters on a table. a man sitting at a table with a poster on it. a book with the title technik. a piece of paper with black and white stripes on it. a book with a picture of a person and words. a book with a blue and white cover with different words. a book with a map of Offenbach am Main and a street map. a person is holding a book with a picture of a bird. a large wall of colorful pieces of art. a desk with drawers and a wall with a photo of a factory. a room with lots of different items on display. a book with old german words on it is displayed. a framed book with a handwritten font on it. a display of some of the music that was played on the radio. a building with a large sign that says Offenbach am Main. kingsoor museum, Offenbach am Main. three men standing around a table looking at a box. two men talking in an art museum. an older man sitting at a table with a book open. two men looking at books in a library. a piece of paper with a note on it. a person holding up a business card with the word t on it. a piece of paper with the words national anthem on it. neilland and neilland inne - lp. neilland and the new world, a book of maps and illustrations by neilland,. a book with the words norfolk protection society on it. a drawing of the letters hn on a paper. a sticker with the words stentrere on it. a book with an orange cover with a black cross on it. a book with the title rhenn and the words brechen. a piece of paper with a black and white text. a book with a red cover and white pages. a book with a black and white cover and a white page. a book with the title english muffins and a red cover. a person is holding a piece of paper with a number of different numbers on it. a large black and white print with a large font. a book with a picture of a person on it. a poster with the words mark kenner on it. two men standing around a table with books on it. a book with the word abel on it. grobe Offenbach am Main - a sign for a shop in the city of Offenbach am Main. a book with the title fette kabel. a book with a yellow cover and black text. a book with illustrations of different types of furniture. a book with the words neues nummerger spiele. a magazine with a picture of a nutcracker and two other people. a long hallway with lots of boxes and papers. a poster advertising the plakat. a piece of paper with a white border on it. a wall with many different types of paper and posters"
17,19,three purple flowers growing in the grass. willow buds with water droplets on them. a close up of a plant with white flowers. willow buds in the spring. a close up of a willow tree with water droplets on it. yellow flowers with water droplets on them. frost on a plant in the grass. four dogs running in a field with grass and trees. dogs playing in a field with a fence in the background. four dogs sitting on a wooden bench. two dogs standing on a rock in the woods. four dogs standing on a muddy path in the woods. a sunset over the freeway with a bridge in the background. the sun is setting over a city with trees. a close up of a flower with white petals. a small flower with water droplets on it. photograph - yellow flower by jimmy kirk. a close up of a purple flower with green background. a purple flower with water droplets on it. a clover in the rain. a mushroom is standing in the grass. a close up of some small green leaves with water droplets. a close up of a plant with brown leaves. a close up of a leaf with water droplets. a close up of a leaf with some brown leaves. a purple flower is growing in the grass. autumn leaves on a tree branch. a single purple flower with water droplets on it. autumn leaves on a tree. a single purple flower is in the middle of a green field. a stone bench in the woods with a bamboo stick. a small flower is in the grass with other flowers. a blue train traveling through a lush green field. a small plant with red leaves in the grass. a dandelion is seen in the middle of a field. a dandelion is seen in the grass
18,20,"yellow daffodils in the garden. a close up of a plant with seeds. a close up of a white cotton plant. willow tree, willow tree, willow tree, willow tree, willow tree. a tree with a branch and some leaves. a dirt road surrounded by trees in the woods. sunset over the city of Frankfurt. a blurry image of some grass in the grass. photograph - tree in the park by james mccormick. a white dog standing on a ledge in a vineyard. an aerial view of the countryside and clouds. two red flowers are in bloom in front of a blurry background. a single pink rose blooming in front of green leaves. a tree with a trunk and leaves in the sunlight. a view of the city skyline from a vineyard. a red and white trash can sitting on a dirt road. a bee hive in a field with trees and flowers. a view of the city from a hillside. apple blossoms in bloom. a single flower in the grass with other plants. a close up of some white flowers. a close up of some white flowers. a single purple flower in the grass. a blue flower with a yellow center is in the middle of a green field. a small blue flower is growing in the grass. a small plant with green and pink leaves. heath, purple, heath, heath, heath, heath, heath. a branch with green leaves and a blurry background. a close up of a plant with snow on it"
19,21,"thanos glove, gold, with gems on the fingers. a pair of mittens with a fox face on them. pink pet grooming gloves with black and pink dots. two pairs of gardening gloves with red and blue flowers. a leather glove with a white and brown pattern. two gloves with different types of hands on them. a pair of brown and red gloves with tassels. two pairs of moccasins with fur on them. a baseball in a glove. a bronze hand with a metal glove on display. two gloves with embroidered designs on them are on display. two brown leather gloves on display. a pair of black gloves with red flowers on them. a pair of red gloves on a blue surface. two leather gloves with chains and silver beads. a glove with a black and white design on it. three gloves are displayed on a blue table. purple gloves in a glass case with black and purple detailing. two mittens with knitted patterns on them. three pairs of gloves are displayed in a glass case. a pair of blue gloves with white buttons. a display case with gloves and gloves on display. a pair of gloves and a pair of gloves on a table. a green dress hanging on a wall. a blue and white dress with fringes on display. a white coat on display in a museum. a samurai armor on display in a museum. a leather case with a gold and silver design. a pair of silver boots and a pair of shoes. a small statue of a man with his hands on his chest. a model of a workshop with people working on a piece of cloth. a miniature model of a house with people working on it. a model of a small house with a kitchen and a table. a model of a pirate ship on display in a museum. a pair of green velvet slippers with embroidered designs. a snake skin purse is displayed on display. a cabinet with a dragon on it. a gold wall hanging with flowers and fruit. a pair of gray shoes with black trim. a pair of red shoes with a red ribbon. a display of shoes and clothing on display. a bag with horses on it is on display. a helmet with a gold ring on top of it. a yellow and black snake skin purse on display. a large, ornate, metal box with a dragon on it. a large crocodile is on display in a museum. a black leather case with flowers on it. a large white and brown feather headdress is on display. a mask made from beads and chains on display. a pair of fur boots with fur on them. a purse with colorful designs on it. a piece of art on display in a museum"
20,22,"tag am meer. a group of people standing around a machine in a factory. a wooden desk with a lot of different types of typewriters. a poster with different types of words on it. two men standing in front of a large wooden box. a room with a large printing machine and a sign. three men standing in front of a machine in a workshop. a tower of cards is displayed in a store. a wooden type set with a number of different types of letters. a wooden box with a number of typewriters on it. a large wooden table with many different types of screws. a stack of paper with a quote on it. a man is working on a wooden type set. himbi - hand-printed inkjet printer ink. an image of a typewriter with a keyboard on it. a metal box with a number of different types of stamps. a wooden box with a bunch of different types of type. a rack of greeting cards on a table. a desk with a metal wire rack holding cards. a man and woman standing in front of a machine. a rack of greeting cards with a sign that says fuck off. a hand holding a pink card with a deer on it. a person standing next to a metal type set. three men standing around a table with wooden letters. two men standing at a table with letters on it. a metal box with a metal plate with a metal plate on it. a person standing next to a wooden box with a bunch of letters. a wooden cabinet with a sign on it. a display of cards in a window with a sign that says bite by. ""wenn mans kamm, Offenbach am Main , is"". two people standing in front of a machine"
21,23,a steam engine train sitting on the tracks. a train on the tracks. a train track with a building in the background. a steam train is on the tracks with people standing around. a train on the tracks. a small steam engine train is parked in front of a building. a small steam engine train is parked in front of a building. a small train engine sitting on the tracks. steam locomotive on the tracks in front of a building. steam train in the countryside. a steam train with people on board. an old fashioned steam engine sitting on the tracks. a small train sitting in front of a building. an old train engine sitting on the tracks. a train engine is on the tracks with smoke coming out of it. a steam train with people standing around it. a train is on the tracks. a train track with a building in the background. a train is on the tracks near a building. a steam train is pulling into a building. a steam engine train is parked in front of a building. a small train engine is pulling a train on the tracks. a steam train with people on board. a train yard with several old trains and a shed. a small train engine sitting on the tracks. a small train engine sitting on the tracks. a small train engine sitting next to a building. steam locomotive on the tracks in front of a building. a train with people inside. a steam engine train sitting on the tracks next to a building. an old steam engine train sitting on the tracks. a steam engine is parked in front of a building. a small train sitting in front of a building. a train on the tracks. a train yard with several old trains and a shed. two old trains on the tracks. a train on the tracks. a small train engine sitting on the tracks. a small train engine sitting on the tracks. a person standing next to an old train engine. a steam engine train is pulling into a station. a steam train is on the tracks with people standing around. a train is on the tracks. a blue train engine sitting next to a pile of rocks. a train track with a building in the background. a small steam engine train is parked in front of a building. a steam engine train is parked in front of a building. a train engine is on the tracks with smoke coming out of it. a steam engine train is pulling into a station. a steam engine train is parked in front of a building. a train track with a building in the background. a train track with a building in the background. a train is on the tracks near a building. a steam engine train is parked in front of a building. a small train engine sitting on the tracks. a small train engine is pulling a train on the tracks. a steam train is pulling into a building. a train with people inside. a group of people standing around a train. a steam engine is parked in front of a building. a train on the tracks. a steam engine train sitting on the tracks. a steam engine train is pulling into a station. a steam engine train is parked in front of a building. a steam train is on the tracks with people standing around. a steam engine train is pulling into a station. a train track with a building in the background. a small steam engine train is parked in front of a building. a small steam engine train is parked in front of a building. a small train engine sitting on the tracks. a woman taking a picture of a steam engine. a small train engine sitting next to a building. a steam engine is parked in front of a building. a train on the tracks
22,24,a man standing on the tracks of a steam train. a young boy is working on a green and red train. a steam train with people standing around it. a blue engine sitting in front of a building. a green and black train engine sitting in a building. people are standing on a train track with a train. a man is standing on the tracks of a train. a small steam engine is on the tracks with people watching. a green building with a sign on it. a train on the tracks in front of a building. a man is working on an old train engine. a man is working on a large machine. a small train engine is parked on the tracks. a small train is parked on the tracks near a building
23,25,a mushroom growing on a fallen log in the woods. a leaf in the sun with blurry trees in the background. a fallen tree in the woods at dusk. a large tree stump is cut up by a tree. a table with bowls and plates on it at night. christmas lights in the woods at night. a christmas market in the woods at night. pumpkins lit up at night in a field. christmas lights in the city. blurry image of a road with trees and sky. a view of the sky with smoke coming out of it. pink poppies in the garden. a blurry image of a tree with a sun setting behind it. a blurry photo of a tree in the woods. a tall wooden tower with a blue sky in the background. the tall wooden tower is surrounded by trees. a tall wooden tower with stairs leading up to it. stairs in the woods. a path through the woods with green plants and bushes. a black and white photo of two cars parked in the woods
24,26,"a row of white tombstones in a forest. a person walking down a path in the woods. the sun shines through the trees in a forest. a close up of a tree stump in the woods. a fallen tree stump in the woods. a white dog wearing a blue collar in the woods. a sign on a tree in the woods that says ""bauernhof"". a close up of ivy growing on a tree trunk. a close up of a moss covered tree. a black dog sitting on the ground looking at the camera. a large house with lights on at night. a cemetery with a wooden fence and trees. two dogs standing on a log in the woods. mossy stump in the forest. a close up of a mushroom on a moss covered surface. a leaf with water droplets on it laying on the ground. a yellow leaf with green spots on it. a group of mushrooms growing on a mossy tree. a group of mushrooms growing on a mossy surface. a mushroom on the ground in the forest. mushrooms growing on a tree stump in the forest. a leaf with yellow and brown leaves in the background. a single leaf on a branch in the fall. autumn leaves in the forest. a mushroom growing on a fallen tree in the woods. autumn leaves in the forest. a sign that reads baum n 717. three people standing in the woods looking at a tree. a group of people standing in the woods"
25,27,a pond in the woods with trees and leaves. a small pink flower bud on a tree branch. a stream flowing through a forest with leaves and branches. a tree stump in the woods with some leaves. a pine tree with a small branch in the woods. ice on the ground in the snow. orange mushrooms growing on a fallen tree branch. a group of birds standing on a log in the water. a dog is walking on a trail in the woods. a mushroom is growing on a tree branch. a red mushroom with white spots on it. autumn reflections in the pond at the park. a mushroom is sitting on the ground in the woods. mushrooms growing on a mossy log in the forest. a mushroom is sitting on the ground in the grass. a ring sitting on top of an apple in the grass. a small mushroom is sitting on top of a mossy surface. a dog wearing a collar is running through the woods. a pile of mushrooms in the woods. a small vehicle with a canopy on it is driving through the woods. a blurry image of a pile of logs in the woods. a blurry image of a forest path. blurry image of a path in the woods. a log floating in a lake with trees in the background. a pond in the woods with trees and moss. a white dog standing on top of logs in the woods. a dog swimming in a river with a log. a white dog is standing in the woods. a white dog is standing in the woods. a bench is sitting under a tree next to a lake. a dog swimming in the water with a stick in its mouth. a duck swimming in the water with a stick. a dog swimming in the water with a stick in its mouth. a dachshund dog is standing in the woods. a plant with small green leaves and flowers. a tree branch hanging over the water. yellow flowers in the forest. a large tree in the water with a small branch. purple flower in the woods. a tree branch is reflected in the water. a bird standing on the edge of a body of water. a turtle is sitting on a log in the water. a log in the water with a small fish. a fallen tree is reflected in the water. a mushroom is sitting on a tree branch. a mushroom is growing on a moss covered log. a tree branch is sitting in the water. a white dog with a collar sitting on a wooden bench. a small white flower with green leaves. a single maple leaf in a field of yellow flowers. a field of yellow flowers in the middle of a dark field. a dandelion in the grass. a wooden horse shoe in the woods
26,28,"a view of a city with many shipping containers. a canal with a bridge and a bridge over it. an old building with a door and a window. cars parked in front of an old building with graffiti on it. a building with graffiti on it and a parking lot. a building with graffiti on the side of it. a train traveling through a grassy field with tall buildings in the background. a green train engine sitting on the tracks. a train on the tracks. a tractor parked in a field with a wooden fence. a door with a sign on it that says ""the door"". a canal with a bridge and a bridge over it"
27,29,a dark tunnel with a green light coming out of it. a blurry image of a street at night. a black and white photo of a city street at night. a street with a few buildings and a couple of people walking. a graffiti on a wall. a car driving down the street at night. fusion kitchen & craft boutique. a yellow and black door with water on it. a man sitting at a table with a bowl of soup. a black and white photo of a man on a skateboard. a street sign on a pole. a blurry image of a city street at night
28,30,"a close up of three purple flowers. black and white photograph of snowdrops. a blue flower with a green stem. a close up of a flower with a white flower. a blue flower with long, thin stems. a cat with green eyes looking at the camera. black and white photograph of a flower. a blue flower with a blurry background. a pink rose is shown in front of a dark background. two cats curled up on a chair. a red admiral butterfly on a plant. black and white photograph of a plant with long leaves. a yellow sunflower is shown in the foreground. a red flower with a yellow center is shown. a cat is looking up at something in the distance. black and white photograph of flowers in the dark. a single pink flower with an orange center. a black and white photo of a butterfly on a flower"
