ID,caption,cluster
53575620247,a bridge over a river at sunset with buildings in the background,-1
53576499076,a mandarin duck swimming in the water,14
53576498801,a close up of some white flowers on a tree,14
53576120206,a red building with a bridge over a river,75
53576444764,duck in the water under a bridge,75
53575075597,a young tree branch with leaves on it,14
53576152913,a small purple flower is growing in the grass,14
53576267059,a turtle is sitting on a log in the water,14
53575941241,a river in the middle of a forest with trees,14
53576285460,a branch with green leaves and buds,14
53576053403,a willow tree in the middle of a pond,14
53576169514,a bird standing on the shore of a pond,14
53576284540,a green leaf on a branch with blurry background,14
53575842886,a bird sitting on a branch in the woods,14
53575573963,a bridge over a river with trees and buildings,75
53575689564,duck in the water under the bridge,75
53574979466,a goose walking along the edge of a pond,75
53575294269,a city street with a statue in the middle,102
53574684121,a tall building with wires hanging from it,-1
53574892073,a city street at night with a large building in the background,75
53574753948,a black and white photo of an escalator in a train station,70
53574534921,"""a birds nest in a tree with a blue building in the background""",96
53573883871,a purple flower with a yellow center is shown,-1
53573883586,a close up of a plant with red berries,-1
53574092113,a small white flower with red berries on a plant,-1
53573866063,a bird is standing on top of a street light,96
53573832488,a close up of a yellow flower,83
53572767237,two purple crocuses are growing in the grass,84
53573866094,a black and white photo of a flower,34
53573507486,a glass table with a chair and a lamp in front of it,38
53573507461,a large building with a clock on the side,121
53572618707,blue flowers in the woods,84
53572618467,daffodils in the park,84
53572604347,"the front of the opera house in Frankfurt, ",86
53573741300,a duck standing on the grass,97
53573502348,a bird with a red beak standing on a curb,97
53573418640,two birds standing on a ledge,97
53573244909,a close up of a cherry blossom,-1
53572058547,a close up of a red flowering tree branch,-1
53572058472,a branch of red flowers on a tree,-1
53572922401,a plant with yellow and green leaves,-1
53572779051,a blurry image of a street at night,29
53572702756,a bird standing on a ledge next to a body of water,97
53573143420,two birds sitting on a ledge next to a body of water,97
53572342409,a close up of a bamboo plant with leaves,58
53572342254,a close up of a white flower with yellow centers,58
53572219883,a cluster of white flowers on a bush,58
53572022026,a pink flower with green leaves on a tree,58
53572240185,purple crocuses are shown in this photo,48
53572099625,people are standing at a train station with a clock,70
53571511524,a river with a bridge and buildings in the background,-1
53571185926,a bird is perched on a street light pole,97
53571007886,two purple flowers with yellow stamens,49
53570933763,a black and white photo of a city with a river,40
53570671821,a river with a church in the background at night,96
53569457005,a catkins flower on a tree branch,58
53569340709,yellow flowers hanging from a tree branch,58
53569456570,purple flowers blooming in the spring,58
53568166007,a small green plant with yellow flowers,57
53569381440,people sitting outside of a building with a large building in the background,-1
53568942216,a city street with cars and buildings in the background,-1
53568648766,"Frankfurt, Frankfurt, Frankfurt, Frankfurt, Frankfurt, Frankfurt,",-1
53568814893,black and white photograph of tall buildings,95
53568061758,blue flowers with water droplets on them,57
53567013952,blue flowers with water droplets on them,57
53567013762,a blue flower is growing in the grass,-1
53568187559,a close up of blue flowers in the grass,57
53566672872,"Frankfurt skyline, Frankfurt,  stock photos, royalty-free photos &",-1
53567848060,"the river in Frankfurt, ",97
53567602218,a city skyline at night with a river and trees,75
53567416130,people walking along a river bank at night with a city skyline in the background,75
53567172308,people walking on the street in front of a city,-1
53567020803,a river with a bridge and buildings in the background,-1
53566510571,a blue and white wall with a large window,-1
53566823864,a boat is docked in front of a church,109
53566823859,a bridge over a river with a building in the background,-1
53565737233,people walking around a city square at dusk,-1
53565865404,people walk around a square in a european city,-1
53565177618,a tree with white and pink flowers in the spring,-1
53565069728,european central bank says euro zone economy is growing,-1
53564026087,"""euro zone banks profits fall in q3, but euro zone economy grows""",-1
53563526922,an empty field with a building in the background,49
53563626876,a large empty lot with concrete blocks and a fence,49
53561925707,a close up of the hood of an old blue car,-1
53563226900,a blue car with a flat tire on the side of the road,-1
53561925677,a blue car parked on the side of a street,-1
53563226885,the z logo on a blue car,-1
53562957160,a train station with a clock and a train,70
53562160304,a tree branch with pink flowers in the night,51
53562279690,a green plant with lights in the background,51
53560937022,yellow daffodils in the garden,20
53560533857,two purple flowers are blooming in the grass,49
53560514533,a close up of a plant with seeds,20
53560758180,a close up of a white cotton plant,20
53560514203,frosty grass in the morning,17
53560259875,a canal with a bridge and a bridge over it,28
53559815656,a river with trees and buildings in the background,-1
53560259445,the river is flowing through a city with tall buildings,68
53560259435,a church with a clock tower on the side of it,-1
53560145989,a yellow train car parked in front of a tall building,-1
53559874303,a blurry image of a person walking in a park,-1
53559381333,black and white photograph of leaves on a plant,34
53559103531,a computer screen with a red background and a red banner,36
53559103496,a man standing in front of a projector screen,36
53558242717,a man standing at a podium in front of a computer screen,36
53559301448,a man standing in front of a projector screen,36
53559545880,a man giving a presentation in front of a screen,36
53559301418,a man giving a presentation in front of a screen,36
53559301393,two men standing next to each other in front of a whiteboard,36
53559301398,a group of people sitting in a room with a projector screen,36
53559435324,a man giving a presentation in front of a screen,36
53559301358,a group of people sitting in a room with a projector screen,36
53559301328,a man standing at a podium in front of a screen,36
53559103436,a man standing in front of a podium with a presentation screen,36
53559103406,a man standing at a podium in front of a white board,36
53559301288,a group of people sitting in a room watching a presentation,36
53558242637,a man standing in front of a group of people,36
53559103386,a man in a white shirt and red tie standing next to a laptop,36
53559103371,a man giving a presentation in front of a large screen,36
53559301238,two men standing in front of a podium with a presentation,36
53559545790,a man giving a presentation in front of a screen,36
53559435254,a man standing at a podium in front of a screen,36
53559103351,a man standing at a podium in front of a screen,36
53558242562,two men are sitting at a table in front of a whiteboard,36
53558242527,a man giving a presentation to a group of people,36
53559301193,two men standing in front of a presentation screen,36
53559545765,a man with a beard standing in front of a screen,36
53558242532,a man standing in front of a screen with a presentation,36
53559020831,a green and red soccer field with a white line,-1
53558923780,a city at night with a pond and trees,51
53555648897,yellow flowers on a plant with green leaves,-1
53556839479,yellow flowers on a plant with green leaves,54
53556498596,a branch with yellow flowers in the rain,-1
53555648587,a close up of a plant with pink leaves,-1
53556839199,a white flower with raindrops on it,84
53556464156,an old building with a door and a window,28
53555904623,a green and white train is parked at a train station,-1
53556043384,a train on the tracks,-1
53555899783,a train is parked at a train station,70
53554242122,a pink bunny statue in the grass next to a fence,-1
53554726978,a white flower with raindrops on it,84
53554525566,a yellow daffodil with raindrops on it,82
53553673557,a single white flower is on a branch,-1
53553637782,purple crocus flowers in the spring,67
53554691513,purple crocuses growing in the grass,67
53554489971,a young tree branch with green leaves,6
53553806923,a blue tram on a city street,104
53553617178,a sticker on a wall that says Frankfurt ,93
53553757559,a city skyline with a church in the background,93
53553418806,a view of the city from an archway,-1
53553418776,a view of the city from a bridge with a church in the background,93
53553813740,a man standing next to a car,100
53552087757,the skyline of Frankfurt at sunset,-1
53552553594,a pond in the woods with trees and leaves,27
53552662840,a mushroom growing on a fallen log in the woods,25
53551354912,a leaf in the sun with blurry trees in the background,25
53552213646,a fallen tree in the woods at dusk,25
53551936671,a close up of a pink flower on a tree,54
53552132458,a single white flower is on a branch,-1
53552132293,a blurry image of a yellow flower,83
53552272584,yellow flowers on a branch in the woods,80
53551827836,two blue flowers are growing in the grass,-1
53551598889,a blurry photo of a building under construction,6
53551533174,an empty lot with a fence and a building,49
53551640660,the greenhouses are empty and the building is in the middle of a field,49
53550316537,a path in a park with trees and grass,49
53551376743,sale site de vie de la ville de la ville de la ville de la,49
53550314562,a yellow house with a tree in front of it,49
53551177801,a building with stairs and a tree in front of it,49
53551017361,a small white flower with green leaves,80
53551337544,a green leaf with a small seedling on it,39
53550997471,a goose standing on a stone ledge near a pond,48
53550984301,a white and red train on the tracks,-1
53550052152,a single yellow daffodil flower is seen in the dark,34
53550928674,the skyline of Frankfurt at sunset,-1
53550492310,yellow daffodils in a field,80
53549179207,a snowdrop is growing in the middle of a field,83
53550244668,a blurry image of a yellow flower,-1
53550383324,a close up of a green flower with white petals,72
53550491640,a close up of a green flower with white petals,72
53549237039,a cat with green eyes looking to the side,34
53549047655,a black and white photo of a city street at night,29
53547679022,a close up of a pink flower with green leaves,72
53548883629,a white flower with a yellow center is in the middle of a green plant,72
53547678907,a small branch with yellow flowers on it,72
53548990400,a close up of a plant with yellow flowers,72
53548119791,a view of the city through a metal gate,68
53548306563,a view of the city from the bridge,68
53547242797,a close up of a metal railing with rivets,68
53547961136,"the skyline of Frankfurt, , at dusk",68
53548398030,"the skyline of Frankfurt, , with the river and bridge in the foreground",68
53547960836,photograph - eisenhower bridge and the eisenhower center by jimmy kirk,-1
53548065178,a small yellow flower is growing on a green stem,-1
53548207304,a yellow flower with green leaves and green stems,80
53548207194,a small green flower with yellow centers,80
53547893758,a statue of a woman laying on a stone,85
53547260416,the interior of a train with blue seats,70
53547698915,"the skyline of Frankfurt, , with the new european bank tower in",104
53547318820,two pink roses are blooming in the garden,34
53546304764,a small pink flower bud on a tree branch,27
53546414550,a stream flowing through a forest with leaves and branches,27
53546414460,a close up of a car door handle with a red and black emblem,-1
53555483359,a blue and white tram on a city street,-1
53551078699,a single white flower on a branch,-1
53550049226,a close up of snowdrops in the dark,84
53550491535,a close up of some blue flowers,72
53546414910,a row of white tombstones in a forest,26
53546414180,the names of the people who have been on the bench,81
53546049874,a man wearing a jacket,94
53545382170,black and white photograph of snowdrops,34
53544960608,a black and white photo of a building at night,72
53543147702,a black and white photo of a fence,-1
53543962020,a river with a bridge and buildings in the background,97
53543622193,a stairway with a window in the middle of it,-1
53543213738,a statue of a lion with a face on it,-1
53542055911,a man with dreadlocks and a beard smiles,94
53541772111,a mural on the side of a building with a circle on it,-1
53541434586,a blurry image of a train speeding down the tracks,-1
53559789018,a black and white photo of a building with trees,38
53556205229,a black and white photo of a highway with a bridge,-1
53539432484,a man and woman standing on a balcony of a building,-1
53536849552,a bus parked in front of a building,-1
53537143179,three purple flowers growing in the grass,19
53537242170,willow buds with water droplets on them,19
53536818806,a close up of a plant with white flowers,19
53537004248,a bridge with a city skyline in the background,68
53535939452,willow buds in the spring,19
53537003993,a close up of a willow tree with water droplets on it,19
53536403671,a group of snowdrops are growing in the garden,34
53535933245,a close up of some purple irises,48
53535223769,a black and white photo of a child sitting on the ground,101
53535088663,a man is sitting on the side of a bridge near a river,101
53534024642,a man and a woman standing in the street,101
53534908616,a black and white photo of a river and city,101
53534908111,a person walking down a cobblestone path,101
53535328380,a man is standing in front of a store,101
53534362196,a cat sitting in the dirt near some plants,34
53533736064,people are gathered around a firework display on the street,74
53532818581,people shopping at a fruit stand on a sidewalk,-1
53532894534,black and white photograph of stairs in a subway station,-1
53532731918,a billboard with graffiti on it in front of a building,-1
53531483192,a plate with rice and food on it,-1
53531747108,two tiger cubs are walking through the grass,50
53531873709,a close up of a plant with small red flowers,-1
53531873514,a close up of a plant with green leaves,80
53530625592,a man with a mustache and hat smiling,100
53531348225,european central bank to cut interest rates,99
53530794799,a small plant with green leaves and a small flower,80
53530909745,a small plant with green leaves and small flowers,80
53530794609,small white flowers growing in the grass,80
53529582557,a close up of blue flowers in the grass,80
53530794329,a close up of some purple berries on a branch,80
53530350581,a flower bed with blue and yellow flowers,48
53530350481,a butterfly with orange and black wings sitting on a leaf,44
53530783315,a black and white butterfly on red flowers,44
53529456742,a group of umbrellas in a garden,48
53530543758,a black and red butterfly with red wings sitting on a plant,44
53530543763,a group of plants with orange flowers in a garden,49
53530543713,a large orange flower with green leaves,-1
53530339525,statue of a man in a suit standing on a street,18
53528946842,a piece of paper laying on the ground,18
53530103935,a group of people dressed in traditional costumes playing instruments,-1
53529812159,a yellow bird sitting on a rock in the sun,50
53529751909,a single yellow daffodil flower is seen in the background,-1
53529865610,a single yellow flower with water droplets on it,-1
53527894792,yellow daffodils in a field,-1
53529226520,yellow daffodils in the grass,-1
53528977803,a branch of a cherry blossom tree with a blurry background,80
53528998870,purple crocuses are blooming in the dark,34
53528346559,a painting of a hand holding a cigar in a gold frame,83
53527899213,a man wearing a helmet and a woman wearing a helmet,-1
53526484432,people are protesting in front of a building with a large crowd,-1
53527055861,people are standing in front of a building with a flag and a sign that says flagge z,-1
53526671115,a spiral staircase in a building with a bookcase,85
53524679184,a blue flower with a green stem in the middle,34
53523363196,a green snake is sitting on a rock,50
53523351596,two people walking under a tunnel in the snow,96
53523268251,a decorative column with a lion on it at night,-1
53523584014,people walk in a city at night with tall buildings in the background,-1
53523242320,a stone column with decorative carvings on it,82
53521915667,a white dog sitting on a stone ledge,82
53521915527,a stone monument with a plaque on it,82
53523131169,a stone wall with two statues on it,82
53521915197,a carved stone sculpture on a wall in a building,82
53523130779,the cemetery at night with a bench and a wall,82
53521563607,a river with a bridge and trees in front of it,93
53522628853,a view of the city from the water,93
53522408393,a close up of a purple flower with green leaves,34
53521793164,a city square with many buildings and people,123
53520367282,a statue of jesus on a cross in front of a city,82
53521580634,a statue of jesus on the cross in front of a church,82
53521261906,a large building with many windows lit up at night,82
53521580309,a church steeple at night with a clock on it,82
53521330735,a crowd of people are gathered around a statue,-1
53520786461,yellow flowers with water droplets on them,19
53520951093,crocus flowers in the grass with water droplets,-1
53521216665,a snowdrop is growing in the rain,84
53521216460,snowdrops in the woods,84
53519180147,a train traveling down the tracks in a rural area,2
53520498470,a red and white train on the tracks,2
53520498360,a white train traveling down the tracks,2
53520069126,a red and blue train on the tracks,2
53520388439,a train traveling down the tracks,2
53520388364,a red train sitting on the tracks at a train station,-1
53518978168,a train sitting on the tracks,-1
53518729684,a white rose with a yellow center on a green background,49
53517765008,a large hot dog sitting on top of a trash can,98
53517841604,a view of the city skyline at sunset with snow on the ground,-1
53517475001,two dogs fighting in a park,54
53517474896,two dogs playing in the park,54
53517640758,two dogs playing in the grass,54
53517790079,two dogs playing in a park,54
53517225176,two white dogs sitting on the grass in front of a building,54
53517540984,two white dogs playing in a park,54
53517540779,two dogs sitting on the grass in front of a building,54
53517164126,the city skyline at night with a bridge over the water,74
53516275647,a swan is swimming in a pond near a park,51
53515576137,black and white photograph of a flower,34
53515507377,a woman holding up a sign on the street,-1
53516557633,three people holding up signs in front of a store,-1
53516583100,frost on a plant in the grass,19
53515265057,frosty grass in the morning,17
53516257838,a red double decker bus on a wet street,-1
53516257768,a bus driving down a wet street in the rain,18
53516523340,a bus is driving down a street at night,18
53516257748,a green bus parked at a bus stop at night,-1
53515422946,a large tree in a park with grass and trees,6
53515590783,yellow flowers on a plant in the forest,14
53515590558,a small orange flower is growing out of the ground,14
53515853900,yellow flowers in the forest,14
53514305052,a red-breasted bird sits on a branch,50
53515514260,a blue bird is sitting on a branch,50
53514493131,a building with a clock tower in front of it,100
53514873410,photograph - purple flowers by julia krÃ¼ger,34
53513434657,the skyline of Frankfurt,79
53513281506,a river with trees reflected in the water,13
53512395797,a close up of some blue berries on a plant,17
53513456468,a close up of a plant with small flowers,17
53513006006,a thistle plant with green leaves and a spiky head,13
53513276955,Frankfurt skyline at night,93
53512613895,a red train pulling into a station with people walking by,70
53512344728,a white and red train is stopped at a station,71
53511408858,a close up of a small flower with a blurry background,17
53510348137,purple flowers in the grass with some tall grass,17
53511560084,yellow flowers in the grass,17
53511559574,yellow flowers in the grass,17
53511142528,two trains are parked next to each other,-1
53510917591,a yellow train traveling over a bridge in a city,14
53511310670,purple crocuses are blooming in the grass,34
53509027997,a city at night with a long street and a highway,-1
53509568698,a pond in the middle of a forest with trees and lily pads,13
53509719724,a lake surrounded by trees and water lillies,13
53508507782,a pond with water lilies and trees in the background,13
53509567218,a pond with lots of water lilies in it,13
53508240402,a tractor driving down a street with a german flag,-1
53508549321,ducks swimming in a pond with green leaves,13
53508713328,photograph - swamp reflections by jimmy kirk,13
53508573609,a train on the tracks in front of a small house,14
53507055212,a single yellow flower is shown in the middle of a dark background,34
53508003928,a crowd of people standing in a street with tents,-1
53507193426,"a red, black and yellow bird sitting on a tree branch",50
53507459054,a red and black bird with its mouth open,50
53506184282,a bird sitting on a tree branch,50
53506389510,a cat is sitting on a branch in front of a house,-1
53506073964,a view of the inside of a building with glass walls,-1
53505117926,a green lizard sitting on a branch in the jungle,50
53505212683,a white and red train is sitting in a train station,70
53504176967,a white train is parked at a train station,70
53505470185,two lizards sitting on a rock in an enclosure,50
53503809562,a circular glass dome with a metal structure inside,56
53503758572,a woman dressed in traditional costume with makeup,-1
53503757392,a man dressed in a costume with a large hat,-1
53504951139,a dancer in a colorful costume on stage,-1
53504967835,a woman smoking a cigarette in front of a building,104
53503552339,a green frog sitting on a branch in the forest,50
53503204781,a fish in a pond with some plants,50
53503151188,a train traveling down the tracks with a yellow cab,-1
53503306849,a blue train traveling down the tracks in a rural area,-1
53501697832,a close up of three purple flowers,30
53502197696,a tree in front of a building with a glass facade,43
53502602335,black and white photograph of snowdrops,30
53501231048,"willow tree, willow tree, willow tree, willow tree, willow tree",20
53501077271,a tree with a branch and some leaves,20
53501076711,a person walking down a path in the woods,26
53500191017,a dirt road surrounded by trees in the woods,20
53501498100,a balcony with a balcony railing and a balcony railing,-1
53501014999,a tree stump in the woods with some leaves,27
53499827462,a pine tree with a small branch in the woods,27
53499827207,ice on the ground in the snow,27
53500711786,a branch with small pink flowers on it,6
53500589736,sunset over the city of Frankfurt,20
53499536565,a city skyline is seen in the distance at night,17
53499536370,a dark night sky with trees and a city in the background,17
53497662192,two small rodents are standing on top of a rock,50
53498831739,a tree branch with icicles hanging from it,17
53498831579,ice on a tree branch in the snow,17
53498526296,a frozen branch with icicles hanging from it,17
53498945815,icicles hanging from a tree branch at night,17
53497641092,frosty branches in the city at night,17
53498496413,a tree branch with ice on it at night,17
53498340051,a frozen flower with a small droplet of water on it,17
53497456902,ice covered berries on a tree branch,17
53498339601,a red flower is in the foreground of a blurry photo,17
53489095698,a city at night with a view from the top of a building,79
53489360000,an office building with many windows and many people,79
53496625576,frost on a tree branch,17
53496625491,a bush with red berries covered in ice,17
53497047370,ice on a pine tree branch,17
53496924639,black and white photograph of a tree with ice on it,17
53496608943,a train is passing by,-1
53496442141,icicles hanging from a pine branch,17
53496741835,ice on a tree branch in the snow,17
53496470923,a leaf is hanging from a branch in the snow,17
53495430737,a frozen branch with a leaf hanging from it,17
53495086741,a blue flower with a green stem,30
53494938568,a street with a door and a mural of faces,95
53494448064,moonlight on the tree,17
53494146911,a snowy field with a sunset in the background,17
53494146626,a snowy landscape with a red sky and trees,17
53494189133,a street with cars parked on it and a taxi sign,-1
53494305245,the moon rises over the city skyline at night,-1
53492977047,two women in traditional costumes perform on stage,-1
53529456917,a garden with many different flowers and plants,48
53530783505,a flower bed with many different types of flowers,48
53530350561,an orange and black butterfly on red flowers,44
53529456877,a butterfly with orange and black wings sitting on red flowers,44
53530350491,a zebra butterfly on a flower,44
53530668949,a pink and blue flower with purple tips,44
53530350431,a brown butterfly with large eyes is sitting on a leaf,44
53530350316,a cactus plant with yellow spikes,48
53517892629,a white box with a poster on it sitting on the ground,98
53497047690,ice covered branches with red berries on them,17
53495734937,ice crystals on a branch in the snow,17
53483582935,people walk around a city at night,106
53483582810,a bridge over the river at night with lights on,106
53483474149,a large church lit up at night,106
53483316208,miniature houses and other items are displayed on a glass shelf,106
53483473379,two statues are sitting on a wall in a dark room,106
53482824465,a train is parked in a subway station,56
53482714574,a blue train on the tracks,56
53482819315,a tram on the street in front of a tall building,60
53482705894,a small trailer parked on the side of the road,-1
53480851203,a stone lion statue with writing on it,-1
53479803277,a plant with green leaves hanging from a pole,69
53479979045,a city square with many buildings and people,-1
53479715533,a car parked next to a billboard with two women,-1
53478581539,people sitting on benches in front of a large building,111
53477708724,a red and blue building in front of a body of water,-1
53476412932,a cat laying on top of a bed,-1
53477383433,a tall building with a blue sky in the background,-1
53477651205,a woman is walking in front of a building,-1
53475696287,Frankfurt - Frankfurt -  - protest - climate change - climate change - climate,-1
53475696282,a large crowd of people in the street holding signs,-1
53475696222,Frankfurt - Frankfurt - Frankfurt - Frankfurt - Frankfurt -,-1
53475041157,a bench is covered in snow,-1
53475568379,a bus stop with people standing around it at night,-1
53474479911,a cup of coffee and a piece of bread on a table,121
53473261336,a snow covered road with two snow - covered lines,68
53471862613,a snow covered street with two traffic signs,-1
53470813582,a snowy park with trees and buildings in the background,-1
53472090445,a bench is covered in snow,-1
53470993040,a woman is standing next to a train at a station,56
53470570386,a poster for a movie is on the wall,98
53470992985,a map of the Frankfurt underground,104
53470887584,two people walk down an empty hallway,-1
53470992935,people standing in a subway station with a train moving,104
53470327196,a street lamp is in front of a building,83
53469425157,a wooden pole with a face painted on it,82
53470749035,the sun shines through the trees in a forest,26
53470644134,a close up of a tree stump in the woods,26
53470748085,a tall building is seen through some trees,80
53469347632,a small pink flower is on a branch,51
53470567879,a statue of a man with green hair,84
53470247281,a close up of a pink flower on a tree,51
53469347267,a small pink flower on a branch with a blurry background,51
53469846096,a close up of a green surface with snow on it,-1
53465978328,people walking in front of a large glass building,105
53465405053,a fallen tree stump in the woods,26
53465404838,a white dog wearing a blue collar in the woods,26
53464357777,a bush with small white flowers and green leaves,-1
53465267206,"""a large mural of a womans face on a building""",-1
53465678560,three blue flowers with yellow centers are shown,33
53465661800,a city skyline with tall buildings and traffic,-1
53465661675,yellow flowers are blooming in the background,-1
53465661575,a close up of a rusty metal machine,69
53465237471,a building with a large window,-1
53464327167,a crane is parked on the side of a river,-1
53465178395,a red double decker bus driving down a city street,42
53463012337,a blurry photo of a city at night,69
53464142925,"flooding in Frankfurt am main, ",-1
53463610248,a pink bus driving down a street near a building,42
53463472696,a pink and black bus driving down a street,42
53463654620,people playing ice hockey on a frozen pond,6
53463641515,a park with trees and grass in the middle,6
53463101371,"audi s5 cabriolet, Frankfurt, ",-1
53463397429,two pink and white flowers with green leaves,33
53461928451,a large painting of a bald man with a blue face,-1
53462340920,a graffiti wall with a cartoon character on it,-1
53462241089,a city at night with graffiti on buildings,-1
53462059558,a building at night with lights on the windows,-1
53459771669,an abandoned building with graffiti on the walls,49
53459872690,construction site with construction equipment and a building,-1
53459137528,a large display of blue and white items,-1
53459137533,a group of people standing around a large blue and white tent,-1
53458000072,a pink flower with green leaves in front of a blue sky,33
53459076299,a rainbow colored light is reflected in a glass,6
53458418509,four dogs running in a field with grass and trees,19
53457181047,dogs playing in a field with a fence in the background,19
53458517425,four dogs sitting on a wooden bench,19
53458232888,two dogs standing on a rock in the woods,19
53458517080,four dogs standing on a muddy path in the woods,19
53457985693,a drawing of a man in a coat on a wall,114
53457985398,a drawing of a man in glasses is displayed in a frame,114
53457859006,a drawing of a man wearing a hat and a black suit,114
53456933052,a painting of people walking down a street in front of buildings,114
53458168034,a painting of people reading newspapers in a park,115
53456932542,paintings on display in an art museum,114
53456932352,three paintings on the wall of an art museum,114
53456931897,a painting of a man walking in front of a building,114
53456930597,a painting of a church with a tower in the background,114
53456927027,a painting of a house with people walking by it,115
53456924427,a painting of a building with people walking in front of it,115
53457976273,a painting of a church with a steeple in the background,115
53457975518,a painting with a red and blue abstract shape,115
53458256215,a painting of a bird in the woods by a tree,115
53457846561,a painting of a man sitting on a bench,115
53458155579,a painting of a church with a tower in the background,115
53457459404,black and white photograph of two daisies,33
53456149057,a large building with a steeple,109
53457484810,a large building with a clock tower,109
53457076871,a bridge with people walking across it,109
53456818646,a yellow clock with a building in the background,-1
53457124984,"a sign on a tree in the woods that says ""bauernhof""",26
53457222895,a close up of ivy growing on a tree trunk,26
53456813521,a close up of a moss covered tree,26
53456934523,a black dog sitting on the ground looking at the camera,26
53456677830,a group of people walking down a street at night,-1
53455598245,a large tree stump is cut up by a tree,25
53455310708,statue of a man carrying a large ball in front of a church,-1
53454260992,a river with trees and buildings in the background,-1
53455593615,a dog is standing in the water next to a building,69
53455182261,a river with buildings and a bridge in the background,69
53453387566,a black and white photo of a train on the tracks,-1
53451733153,photograph - new york city skyline by jimmy kirk,-1
53451608151,a building with a large glass window in front of it,43
53451577026,two buses are parked next to each other,-1
53451576951,a bus on a city street,-1
53450876858,a close up of a blue flower with yellow stamens,33
53449645951,two pictures of a man and dog running in the water,-1
53448198917,the city skyline at night with the lights on,-1
53448145152,a man in a costume holding a large metal object,-1
53448843164,a bare tree in a field with no leaves,-1
53448522561,a small house with a broken window and a broken door,-1
53448906585,a close up of a red flower with green stamens,33
53448201984,a bus is driving down the street at night,-1
53446960632,a white bus parked on the side of a street,-1
53446921986,a red train is parked at a train station,-1
53447277095,the opera house in Frankfurt at night,86
53444697790,a crane is on the ground next to a train track,-1
53445909528,a car is parked in front of a building with a fire coming out of it,98
53444849767,a large smoke plume is coming out of a building,98
53444797143,a man standing in front of a counter with a sign,111
53444482458,a view of the city from a train window,40
53442201835,a yellow flower with a bee on it,6
53441891853,black and white photograph of a flower with water droplets,33
53440804321,a man is dancing in the middle of a crowd,94
53440695551,a black and white photo of people sitting at a cafe,-1
53440954465,a bee on a blue flower in the grass,6
53440858744,a blue flower is shown in front of a blurry background,6
53439619147,a blue flower in the field,6
53440858469,a blue flower is in a field of green grass,6
53438658421,a yellow flower is growing in the grass,6
53438973749,yellow flowers in the wild,6
53438164388,a tram on the tracks in a park,-1
53437910655,a tall building with many windows,100
53436450392,people are walking around a train station,70
53437373471,a white flower with yellow stamens,33
53437677719,people are walking around a train station,70
53436497346,a train traveling down the tracks next to a forest,-1
53436185541,a small plant with green leaves and brown rocks,-1
53436345440,fireworks over the river in Frankfurt,74
53435834065,a view of a city street with buildings and sky,104
53434485402,a city square with a clock tower in the background,104
53435833445,a view of a street with buildings and people walking,-1
53434484017,a 360 - view of a city square with buildings,104
53435729544,a tree - with no leaves - in the middle of a city,104
53435831515,a city street with people walking and standing on the sidewalk,104
53435550478,people walk down a street in front of a building,104
53435548908,a large glass building with people walking around it,105
53435547203,a tree is seen in the reflection of a building,94
53434478237,a view of a market with vegetables and fruits,94
53435826080,people are shopping at a market in a city,94
53435723619,a view of a city square with people walking around,94
